Компания,Телефон,Сайт,Категория,Город,Страна,Score,Статус,Источник,Дата
"Веломагазин Алматы ""TenaCity""","+7 707 055 5279","https://www.instagram.com/tenacity.kz/","Веломагазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DNS","+7 800 080-70-22","https://dns-shop.kz/","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Подшипниковая компания СИНАЛ","+7 7272 79 34 54","","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Аском","+7 778 746 3638","https://www.askom.kz/rus/contact/filialy/","Магазин автозапчастей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DDP","+7 708 328 0808","","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Химия и Технология","+7 727 333 6099","https://www.cht.kz/","Химический завод","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"General Safety","+7 707 504 1994","http://www.generalsafety.kz/","Магазин спецодежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"ТОО Арнал-1","+7 727 398 6692","http://www.too-arnal1.com/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Ламинат, паркет, двери, плинтуса - Masterpol","+7 705 187 5550","http://masterpol.kz/","Магазин напольных покрытий","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"masterpol.kz","+7 705 187 5550","https://masterpol.kz/","Магазин напольных покрытий","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Сайдинг Trand Siding KZ","+7 778 170 0200","","Магазин кровельных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Premix Pro","+7 701 570 2246","https://www.instagram.com/premix.pro/","Поставщик отделочных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО МСК-Импэкс","+7 7272 68 53 03","http://www.safetywear.kz/","Магазин спецодежды","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"HappyCake","+7 707 777 1144","https://happycake.kz/almaty","Кондитерская","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Мечта Кондитера","+7 708 100 6301","https://www.instagram.com/mechta_konditera_almaty/","Кондитерский магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Oilkixx","+7 775 235 0131","http://oilkixx.kz/","Магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"The Brutal Store","+7 702 660 6669","","Оптовая продажа косметики","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Geofiore","+7 708 716 3923","http://geofiore.kz/contacts","Питомник растений","Алматы",KZ,30,new,google_maps_apify,2026-08-16
"Сумки Чемоданы","+7 778 888 5558","","Магазин сумок","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Все для салонов красоты оптом и в розницу","","","Магазин товаров для салонов красоты","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Насосное оборудование Elit","+7 707 794 1268","https://www.instagram.com/elitpump.kz/","Магазин инструмента","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"LIDER телевизоры , бытовая техника","","","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"P.I.T Rakhat","+7 706 625 0106","https://pittools.kz/","Оптовая продажа электроприборов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Q_MARKETKZ","","","Магазин товаров для дома","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Филиал ТОО ""АШК"" в городе Алматы","+7 707 969 4989","","Магазин шин и дисков","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ТОО СКК-2000","+7 7272 59 85 98","https://stalkomplex.kz/","Оптовая торговля","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"AGVISCOM ASIA","+7 707 276 8765","https://agviscom.kz/","Магазин компьютерных аксессуаров","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"DNS","+7 705 751 2216","https://dns-shop.kz/","Магазин бытовой техники","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"meat to eat","+7 707 248 4646","https://www.meattoeat.kz/","Магазин мясных продуктов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"ИП ТН Сервис","+7 747 524 2740","","Магазин шин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"laminat_dveri_stroi_siti","+7 747 547 6516","","Оптовая продажа строительных материалов","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Купить межкомнатные двери в Алматы","+7 705 187 5550","http://masterpol.kz/","Магазин дверей","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Saf Stone Ceramics","+7 701 842 4004","https://www.instagram.com/kafel_optom_almaty/","Магазин керамической плитки","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"VOLTROOM","+7 707 310 4040","","Интернет-магазин","Алматы",KZ,15,new,google_maps_apify,2026-08-16
"Aspan Profile Technologies","+7 7272 46 36 13","http://aspan-pro.kz/","Торговый центр","Алматы",KZ,45,new,google_maps_apify,2026-08-16
